Barcode,No. Panggil,Tipe Koleksi,No. Inventaris,Tanggal Penerima (Bulan/Tanggal/Tahun,,,Lokasi,Tanggal Pemesanan (Bulan/Tanggal/Tahun,,,Hadiah,,Harga,,Tanggal Faktur (Bulan/Tanggal/Tahun,,,Judul
<SMKPGRI1-0004b>,607.1 RIC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0007>,607.1 RIC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0007b>,607.1 RIC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-642>,600 TIM t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-642b>,600 TIM t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-429>,500 MIE i,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0008>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-0008b>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-009>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-009b>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-009b>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445b>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445b>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445c>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445d>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445e>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445f>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445g>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445h>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445i>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445l>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445m>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-4450>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445p>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445q>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445r>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445s>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445t>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445u>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445v>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445w>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-445x>,425 ITC t,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-010>,651.3 TUR m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI1-010b>,651.3 TUR m,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-702>,658.8007 DEV p,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
<SMKPGRI-702b>,658.8007 DEV p,Textbook,INV,05/15/2022,,,Perpustakaan PGRI,05/10/2022,,,Hadiah,,0,,05/15/2022,,,
